t,alt,lat,lon
0,0.36,39.3898,-8.29
0,0.42,39.3898,-8.29
0,47.42,39.3898,-8.29
1,202.23,39.3898,-8.29
2,501.42,39.3898,-8.29
3,786,39.3898,-8.29
4,1029.11,-0.0001,-0.0001
5,1290.78,39.3898,-8.29
6,1498.85,39.3898,-8.29
7,1714.14,39.3898,-8.29
8,1915.9,39.3898,-8.29
9,2077.2,39.3903,-8.2904
10,2245.9,39.3903,-8.2905
11,2381.5,39.3904,-8.2906
12,2523.98,39.3905,-8.2907
13,2650.45,39.3905,-8.2907
14,2751.66,39.3905,-8.2907
15,2854.7,39.3905,-8.2907
16,2946.1,39.3905,-8.2907
17,3008.46,39.3905,-8.2907
18,3087.7,39.3905,-8.2907
19,3141.45,39.3905,-8.2907
20,3178.45,39.3905,-8.2907
21,3210.78,39.3819,-8.2874
22,3231.47,39.3819,-8.2873
23,3246.39,39.3819,-8.2873
24,3249.46,39.3819,-8.2873
25,3244.75,-0.0001,-0.0001
26,3228.37,39.3852,-8.277
27,3204.81,39.3862,-8.2788
28,3173.67,39.386,-8.2783
29,3135.84,39.3859,-8.2783
30,3087.52,39.3852,-8.2783
31,3032.63,39.3853,-8.2783
32,2971.69,39.385,-8.278
33,2907.08,39.3855,-8.2771
34,2827.41,39.3855,-8.2771
35,2746.26,39.3864,-8.281
36,2664.03,39.3868,-8.2813
37,2569.95,39.3869,-8.2817
38,2472.49,39.3873,-8.2818
39,2387.13,39.3872,-8.2822
40,2291.9,39.387,-8.2825
41,2200.93,39.3869,-8.2828
42,2101.73,39.387,-8.2831
43,1988.07,39.387,-8.2833
44,1893.71,39.387,-8.2836
45,1780.79,-0.0001,-0.0001
46,1680.01,39.3871,-8.2839
47,1565.96,39.3871,-8.2841
48,1460.09,39.387,-8.2843
49,1343.59,39.387,-8.2844
50,1250.34,39.387,-8.2846
51,1148.23,39.387,-8.2847
52,1044.26,39.387,-8.2849
53,929.7,39.387,-8.2851
54,834.17,39.387,-8.2852
55,729.46,39.387,-8.2854
56,628.13,39.387,-8.2857
57,520.5,39.3869,-8.2861
58,445.78,39.3868,-8.2865
59,344.16,39.3868,-8.2868
60,246.34,39.3868,-8.2872
61,145.07,39.3869,-8.2876
